Description,Price,Rating,Reviews Count,URL,Image link
Cretile Explorer Kit - DIY Robotics Electronic STEM Projects - 8 to 16 Years Kids: Unlimited Project. Rechargeable Battery Included,"₹5,079",4.4 out of 5 stars,18,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07502432D5F7XSX8L0I7&url=%2FCretile-Explorer-Kit-Accessories-Electronic%2Fdp%2FB01N6ELB5B%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-1-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_atf,https://m.media-amazon.com/images/I/81lvWYxKo5S._AC_UL320_.jpg
"Cretile Pioneer Kit - A DIY kit for Robotics, Coding & Electronic STEM Projects | 8+ Years Kids | Unlimited Project with or without Coding | Rechargeable Battery Included","₹12,879",4.5 out of 5 stars,5,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0609970AUBJXGVNXOY0&url=%2FCretile-Logic-Kit-Programming-Accessories%2Fdp%2FB06Y1TFPCX%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-2-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_atf,https://m.media-amazon.com/images/I/81YAIO1V5fS._AC_UL320_.jpg
"Cretile Voyager Kit - A DIY Kit & Online Course for Robotics, Electronics STEM Projects | 8+ Years Kids | Unlimited Projects Without Coding | Rechargeable Battery Included","₹7,699",,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01306932R92HS687JK1K&url=%2FCretile-Voyager-Kit-Electronic-Unlimited%2Fdp%2FB06VS8W7JM%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-3-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_atf,https://m.media-amazon.com/images/I/81iHDwrO-gS._AC_UL320_.jpg
Sparklebox DIY Edge avoiding Robotics Kit Using IR | Ideal for Age 10 Years and Above | Robotic Kit For Kids | Stem Educational Science Project Learning Kit. Modular Electronic Circuits |Compatible with Arduino,"₹1,020",3.0 out of 5 stars,71,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0354099UTT3RTG7U25I&url=%2FSparklebox-avoiding-Educational-Electronic-Compatible%2Fdp%2FB08WKBBKWW%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Drobotics%26qid%3D1631577274%26sr%3D8-4-spons%26psc%3D1&qualifier=1631577274&id=1081474238726604&widgetName=sp_atf,https://m.media-amazon.com/images/I/71FmP8X-DSL._AC_UL320_.jpg
WitBlox Mega Robotics Kit for 101 Projects || Plug & Fit Modular Electronic Circuits || Compatible with Arduino,"₹2,499",4.1 out of 5 stars,632,https://www.amazon.in/WitBlox-Mega-DIY-Robotics-Projects/dp/B075XP5SRR/ref=sr_1_5?dchild=1&keywords=robotics&qid=1631577274&sr=8-5,https://m.media-amazon.com/images/I/61ylDPzZwGS._AC_UL320_.jpg
"Spitin 13-in-1 Solar Power Robots Creation Toy, Educational Experiment DIY Robotics Kit, Science Toy Solar Powered Building Robotic Set Age 8-16 for Boys Girls Kids Teens to Build (Solar Robot)",₹898,4.0 out of 5 stars,8,https://www.amazon.in/Spitin-Creation-Educational-Experiment-Robotics/dp/B09BFXGCK8/ref=sr_1_6?dchild=1&keywords=robotics&qid=1631577274&sr=8-6,https://m.media-amazon.com/images/I/81v6mfdPBcS._AC_UL320_.jpg
"Sparklebox (6 IN 1) Mega Robotics kit 2 |Age 10 years and above.|Science Toys For Kids|Robotics DIY Kit.||Modular Electronic Circuits |Compatible with Arduino|(Line Following Robot ,Joy Stick control car,Edge Avoiding Robot using Ultrasonic Sensor,Gesture Control Robot, Maze Solving Robot,Voice control Car)","₹1,699",3.2 out of 5 stars,45,https://www.amazon.in/Sparklebox-Electronic-Compatible-Following-Ultrasonic/dp/B08ZJ3CK9T/ref=sr_1_7?dchild=1&keywords=robotics&qid=1631577274&sr=8-7,https://m.media-amazon.com/images/I/71gNN7qOPmL._AC_UL320_.jpg
"Quad Store STEM based DIY learning activity educational electronics kit for science, robotics, school, college, hobby, projects","₹2,779",4.4 out of 5 stars,150,https://www.amazon.in/Quad-Store-TM-educational-electronics/dp/B083BZZM5J/ref=sr_1_8?dchild=1&keywords=robotics&qid=1631577274&sr=8-8,https://m.media-amazon.com/images/I/81NU+J6OzdL._AC_UL320_.jpg
"Avishkaar Metal Robotics Super Starter Kit, Multicolor, 8+ Years, 35+ Parts, 100+ Robots, Learn Robotics, Mechanical Design & Logical Thinking","₹2,849",4.1 out of 5 stars,72,https://www.amazon.in/Avishkaar-Robotics-Starter-Models-Mechanical/dp/B08KHKJ8VQ/ref=sr_1_9?dchild=1&keywords=robotics&qid=1631577274&sr=8-9,https://m.media-amazon.com/images/I/71y3sT61nZL._AC_UL320_.jpg
Robotics,₹195,4.0 out of 5 stars,by ,https://www.amazon.in/Robotics-Appuu-K-K-Kuttan/dp/8189866389/ref=sr_1_10?dchild=1&keywords=robotics&qid=1631577274&sr=8-10,https://m.media-amazon.com/images/I/41uXBJygx6L._AC_UL320_.jpg
"Avishkaar Metal Robotics Advanced Kit, Multicolor, 10+ Years, 50+ Parts, 150+ Models, Learn Intermediate Robotics, Mechanical Design & Basic Coding…","₹6,825",3.9 out of 5 stars,22,https://www.amazon.in/AvishkaarBox-Robotronics-Lite-kids-Grey/dp/B06XYRML53/ref=sr_1_11?dchild=1&keywords=robotics&qid=1631577274&sr=8-11,https://m.media-amazon.com/images/I/71qK7oiH96L._AC_UL320_.jpg
"Avishkaar Metal Robotics Pro Kit, Multicolor, 12+ Years, 70+ Parts, 200+ Models, Learn Expert Robotics, Mechanical Design & Expert Coding","₹9,350",4.2 out of 5 stars,47,https://www.amazon.in/AvishkaarBox-Robotronics-Full-Kit-Grey/dp/B06XZ7Q8K4/ref=sr_1_12?dchild=1&keywords=robotics&qid=1631577274&sr=8-12,https://m.media-amazon.com/images/I/81iXS8TJO7L._AC_UL320_.jpg
Sparklebox DIY Robotics Kit | Grade 4 | 21 Experiments | for Kids of Age 9 Years and Above| Stem Educational Science Project Learning Kit.,₹850,3.6 out of 5 stars,87,https://www.amazon.in/Sparklebox-Robotics-Grade-Experiments-Above/dp/B08V88NW21/ref=sr_1_13?dchild=1&keywords=robotics&qid=1631577274&sr=8-13,https://m.media-amazon.com/images/I/71VfxSXyB2L._AC_UL320_.jpg
Cretile Explorer Kit - DIY Robotics Electronic STEM Projects - 8 to 16 Years Kids: Unlimited Project. Rechargeable Battery Included,"₹5,079",4.4 out of 5 stars,18,https://www.amazon.in/Cretile-Explorer-Kit-Accessories-Electronic/dp/B01N6ELB5B/ref=sr_1_14?dchild=1&keywords=robotics&qid=1631577274&sr=8-14,https://m.media-amazon.com/images/I/81lvWYxKo5S._AC_UL320_.jpg
"Ayasa Electronics Robotic Arm With Gripper Diy Kit, All Nuts & Bolts Included, Servos Not Included.",₹780,3.4 out of 5 stars,55,https://www.amazon.in/Ayasa-Electronics-Robotic-Included-Included/dp/B077YMCBWW/ref=sr_1_15?dchild=1&keywords=robotics&qid=1631577274&sr=8-15,https://m.media-amazon.com/images/I/51vIGofjOnL._AC_UL320_.jpg
"Robotics: What Beginners Need to Know about Robotic Process Automation, Mobile Robots, Artificial Intelligence, Machine Learning, Autonomous Vehicles, Speech Recognition, Drones, and Our Future","₹1,989",3.8 out of 5 stars,by ,https://www.amazon.in/Robotics-Automation-Artificial-Intelligence-Recognition/dp/164748121X/ref=sr_1_16?dchild=1&keywords=robotics&qid=1631577274&sr=8-16,https://m.media-amazon.com/images/I/71XLv0H3StL._AC_UL320_.jpg
RVold 13-in-1 Educational Solar Robotic Kit for Kids,₹999,3.4 out of 5 stars,5,https://www.amazon.in/RVold-Educational-Solar-Robotic-Kids/dp/B08KGDSHGK/ref=sr_1_17?dchild=1&keywords=robotics&qid=1631577274&sr=8-17,https://m.media-amazon.com/images/I/71HGr43hxmL._AC_UL320_.jpg
"be cre8v 3 in 1 stem based robotics combo diy kit for kids over 6+ years, educational kit, science lab diy, electronics projects, stem box-Black",₹999,4.3 out of 5 stars,118,https://www.amazon.in/Be-Cre8v-Robotics-Educational-Electronics/dp/B07ZKBPPT4/ref=sr_1_18?dchild=1&keywords=robotics&qid=1631577274&sr=8-18,https://m.media-amazon.com/images/I/71mIMaV0wRL._AC_UL320_.jpg
"Sparklebox ( 6 In 1) Robotics Kit DIY 1 | Ideal for Age 10 years and above.| Science Innovation Robot Toys For Kids |Modular Electronic Circuits |Compatible with Arduino| (Light Following , Human Following , Edge Avoiding , Fire detection , Bluetooth Controlled Car & Obstacle Avoider Robot)","₹1,699",3.0 out of 5 stars,71,https://www.amazon.in/Sparklebox-Innovation-Electronic-Compatible-Controlled/dp/B08ZJ34454/ref=sr_1_19?dchild=1&keywords=robotics&qid=1631577274&sr=8-19,https://m.media-amazon.com/images/I/412uPzGuAEL._AC_UL320_.jpg
SR ROBOTICS Single Axis Solar Tracking System Handmade Working Project,"₹1,199",4.2 out of 5 stars,40,https://www.amazon.in/SR-ROBOTICS-Tracking-Handmade-Working/dp/B07MPKK9DB/ref=sr_1_20?dchild=1&keywords=robotics&qid=1631577274&sr=8-20,https://m.media-amazon.com/images/I/61a3vHfMWpL._AC_UL320_.jpg
